395  1975   1
273  1975   2
375  1975   3
324  1975   4
510  1975   5
623  1975   6
725  1975   7
687  1975   8
587  1975   9
577  1975  10
521  1975  11
466  1975  12
292  1976   1
256  1976   2
292  1976   3
377  1976   4
462  1976   5
538  1976   6
637  1976   7
584  1976   8
458  1976   9
476  1976  10
441  1976  11
494  1976  12
255  1977   1
229  1977   2
302  1977   3
362  1977   4
481  1977   5
497  1977   6
624  1977   7
623  1977   8
488  1977   9
551  1977  10
487  1977  11
354  1977  12
237  1978   1
280  1978   2
304  1978   3
333  1978   4
417  1978   5
603  1978   6
601  1978   7
666  1978   8
555  1978   9
533  1978  10
473  1978  11
427  1978  12
326  1979   1
287  1979   2
372  1979   3
386  1979   4
501  1979   5
573  1979   6
637  1979   7
637  1979   8
562  1979   9
535  1979  10
513  1979  11
534  1979  12
318  1980   1
315  1980   2
336  1980   3
323  1980   4
536  1980   5
512  1980   6
650  1980   7
659  1980   8
540  1980   9
476  1980  10
443  1980  11
353  1980  12
311  1981   1
285  1981   2
365  1981   3
365  1981   4
479  1981   5
525  1981   6
626  1981   7
577  1981   8
529  1981   9
462  1981  10
438  1981  11
421  1981  12
215  1982   1
170  1982   2
239  1982   3
270  1982   4
381  1982   5
398  1982   6
445  1982   7
495  1982   8
384  1982   9
446  1982  10
361  1982  11
365  1982  12
239  1983   1
234  1983   2
218  1983   3
274  1983   4
340  1983   5
481  1983   6
509  1983   7
457  1983   8
420  1983   9
394  1983  10
356  1983  11
294  1983  12
252  1984   1
208  1984   2
206  1984   3
270  1984   4
326  1984   5
499  1984   6
444  1984   7
507  1984   8
387  1984   9
375  1984  10
313  1984  11
333  1984  12
242  1985   1
188  1985   2
256  1985   3
272  1985   4
393  1985   5
525  1985   6
494  1985   7
527  1985   8
390  1985   9
400  1985  10
351  1985  11
327  1985  12
233  1986   1
174  1986   2
250  1986   3
270  1986   4
349  1986   5
483  1986   6
413  1986   7
530  1986   8
353  1986   9
368  1986  10
352  1986  11
296  1986  12
248  1987   1
209  1987   2
217  1987   3
274  1987   4
411  1987   5
422  1987   6
477  1987   7
485  1987   8
395  1987   9
416  1987  10
382  1987  11
340  1987  12
267  1988   1
206  1988   2
261  1988   3
271  1988   4
311  1988   5
385  1988   6
486  1988   7
463  1988   8
396  1988   9
398  1988  10
329  1988  11
379  1988  12
275  1989   1
251  1989   2
242  1989   3
287  1989   4
314  1989   5
387  1989   6
469  1989   7
483  1989   8
403  1989   9
387  1989  10
351  1989  11
397  1989  12
278  1990   1
244  1990   2
252  1990   3
249  1990   4
307  1990   5
373  1990   6
459  1990   7
435  1990   8
394  1990   9
361  1990  10
311  1990  11
298  1990  12
247  1991   1
228  1991   2
259  1991   3
212  1991   4
332  1991   5
372  1991   6
360  1991   7
447  1991   8
340  1991   9
314  1991  10
305  1991  11
269  1991  12
234  1992   1
232  1992   2
200  1992   3
229  1992   4
298  1992   5
314  1992   6
324  1992   7
390  1992   8
316  1992   9
317  1992  10
310  1992  11
322  1992  12
230  1993   1
225  1993   2
215  1993   3
214  1993   4
288  1993   5
321  1993   6
411  1993   7
359  1993   8
323  1993   9
323  1993  10
308  1993  11
333  1993  12
245  1994   1
192  1994   2
181  1994   3
196  1994   4
271  1994   5
285  1994   6
354  1994   7
370  1994   8
289  1994   9
343  1994  10
231  1994  11
284  1994  12
